id,Label,tf,df,tdf
1030,kulit,5,1,5
1031,envolve,10,1,10
1032,rai-fatuk,2,1,2
1033,falintil,22,1,22
1034,adjuntu,8,1,8
1035,médiku,23,1,23
1036,enquantu,1,1,1
1037,ultrapassa,1,1,1
1038,mendes,2,1,2
1039,infeksaun,1,1,1
1040,estrada,61,1,61
1041,daudauk,62,1,62
1042,pesoál,29,1,29
1043,militár,41,1,41
1044,enfrenta,18,1,18
1045,ne'ebé,96,1,96
1046,reál,12,1,12
1047,respiratóriu,1,1,1
1048,balibó,4,1,4
1049,maia,6,1,6
1050,ukun-an,7,1,7
1051,ultrapasa,8,1,8
1052,espesiál,31,1,31
1053,hadook-an,6,1,6
1054,risku,39,1,39
1055,sa'e,1,1,1
1056,likisá,33,1,33
1057,iah,1,1,1
1058,loro-kraik,12,1,12
1059,boletim,2,1,2
1060,poténsia,9,1,9
1061,preferensialmente,1,1,1
1062,rai,51,1,51
1063,halai,5,1,5
1064,validade,8,1,8
1065,dezastre,25,1,25
1066,natoo,1,1,1
1067,especial,1,1,1
1068,períodu,34,1,34
1069,viajante,4,1,4
1070,dnmg,33,1,33
1071,ai-hún,6,1,6
1072,nota,11,1,11
1073,etc,3,1,3
1074,meteorolojia,4,1,4
1075,eventuál,6,1,6
1076,previzaun,8,1,8
1077,jeofízika,8,1,8
1078,evita-an,6,1,6
1079,monu,16,1,16
1080,balu,206,1,206
1081,desloka,3,1,3
1082,tún,28,1,28
1083,kuandu,36,1,36
1084,kanotak,3,1,3
1085,jeradór,2,1,2
1086,para,78,1,78
1087,eskuadra,12,1,12
1088,uitoan,20,1,20
1089,aprovasaun,18,1,18
1090,tenta,14,1,14
1091,hira,5,1,5
1092,ateru,1,1,1
1093,dezeñu,15,1,15
1094,américo,1,1,1
1095,tiru,3,1,3
1096,otél,4,1,4
1097,sa’e,36,1,36
1098,imi,25,1,25
1099,harii,49,1,49
1100,kotuk,38,1,38
1101,dolar,2,1,2
1102,aleixo,8,1,8
1103,prestasaun,9,1,9
1104,hasai,30,1,30
