Source, Target,Type,Weight
alojamentu, temporáriu,Directed,1
temporáriu, dili,Directed,1
dili, marsu,Directed,1
marsu, ministra,Directed,1
ministra, saúde,Directed,1
saúde, odete,Directed,1
odete, maria,Directed,1
maria, freitas,Directed,1
freitas, belo,Directed,1
belo, halao,Directed,1
halao, enkontru,Directed,1
enkontru, ho,Directed,1
ho, prezidente,Directed,1
prezidente, asosiasaun,Directed,1
asosiasaun, komersiante,Directed,1
komersiante, komunidade,Directed,1
komunidade, xinéza-timoroan,Directed,1
xinéza-timoroan, sigla,Directed,1
sigla, portugés,Directed,1
portugés, acccto,Directed,1
acccto, kathleen,Directed,1
kathleen, gon,Directed,1
gon, alves,Directed,1
alves, iha,Directed,1
iha, sala,Directed,1
sala, gabinete,Directed,1
gabinete, ministra,Directed,1
ministra, palácio,Directed,1
palácio, das,Directed,1
das, cinzas,Directed,1
cinzas, caicoli,Directed,1
caicoli, díli,Directed,1
díli, iha,Directed,1
iha, enkontru,Directed,1
enkontru, ne’e,Directed,1
ne’e, kathleen,Directed,1
kathleen, ho,Directed,1
ho, nia,Directed,1
nia, ekipa,Directed,1
ekipa, husu,Directed,1
husu, ba,Directed,1
ba, ministra,Directed,1
ministra, saúde,Directed,1
saúde, atu,Directed,1
atu, sira,Directed,1
sira, bele,Directed,1
bele, lori,Directed,1
lori, vasina,Directed,1
vasina, sinovax,Directed,1
sinovax, mai,Directed,1
mai, iha,Directed,1
iha, timor-leste,Directed,1
timor-leste, hodi,Directed,1
hodi, fo,Directed,1
fo, ba,Directed,1
ba, sira-nia,Directed,1
sira-nia, komunidade,Directed,1
komunidade, hosi,Directed,1
hosi, parte,Directed,1
parte, xiña,Directed,1
xiña, nian,Directed,1
nian, iha,Directed,1
iha, pandemia,Directed,1
pandemia, ida-ne'e,Directed,1
ida-ne'e, sira,Directed,1
sira, preokupa,Directed,1
preokupa, liu,Directed,1
liu, oinsá,Directed,1
oinsá, mak,Directed,1
mak, sira-nia,Directed,1
sira-nia, komunidade,Directed,1
komunidade, ne'e,Directed,1
ne'e, bele,Directed,1
bele, hetan,Directed,1
hetan, vasina,Directed,1
vasina, entaun,Directed,1
entaun, sira,Directed,1
sira, husu,Directed,1
husu, karik,Directed,1
karik, sira,Directed,1
sira, bele,Directed,1
bele, lori,Directed,1
lori, vasina,Directed,1
vasina, sinovax,Directed,1
sinovax, mai,Directed,1
mai, iha,Directed,1
iha, timor,Directed,1
timor, para,Directed,1
para, bele,Directed,1
bele, fó,Directed,1
fó, ba,Directed,1
ba, sira-nia,Directed,1
sira-nia, komunidade,Directed,1
komunidade, entaun,Directed,1
entaun, ita-nia,Directed,1
ita-nia, resposta,Directed,1
resposta, mak,Directed,1
mak, ne'e,Directed,1
ne'e, ita,Directed,1
ita, hili,Directed,1
hili, astrazeneka,Directed,1
astrazeneka, orsida,Directed,1
orsida, sei,Directed,1
sei, fó,Directed,1
fó, ba,Directed,1
ba, ema,Directed,1
ema, hotu-hotu,Directed,1
hotu-hotu, se,Directed,1
se, mak,Directed,1
mak, tama,Directed,1
tama, iha,Directed,1
iha, kriteria,Directed,1
kriteria, pursentu,Directed,1
pursentu, rua-nulu,Directed,1
rua-nulu, komunidade,Directed,1
komunidade, ne'ebé,Directed,1
ne'ebé, mak,Directed,1
mak, hela,Directed,1
hela, iha,Directed,1
iha, timor,Directed,1
timor, bainhira,Directed,1
bainhira, nia,Directed,1
nia, elezível,Directed,1
elezível, tuir,Directed,1
tuir, kriteria,Directed,1
kriteria, ne'ebé,Directed,1
ne'ebé, mak,Directed,1
mak, iha,Directed,1
iha, hotu-hotu,Directed,1
hotu-hotu, iha,Directed,1
iha, direitu,Directed,1
direitu, la,Directed,1
la, haree,Directed,1
haree, ba,Directed,1
ba, rasa,Directed,1
rasa, no,Directed,1
no, hosi,Directed,1
