id,Label,tf,df,tdf,stopword
875,treina,8,8,64,0
876,trechos,4,4,16,0
877,trecho,9,9,81,0
878,traído,4,4,16,0
879,traída,2,2,4,0
880,traços,1,1,1,0
881,traço,2,2,4,0
882,traça,4,4,16,0
883,trazido,1,1,1,0
884,trazida,2,2,4,0
885,traziam,4,4,16,0
886,trazia,5,5,25,0
887,trazer,29,27,783,0
888,trazendo,6,6,36,0
889,trazem,5,5,25,0
890,trazei,2,2,4,0
891,traz,30,30,900,0
892,travessia,2,2,4,0
893,travesseiro,1,1,1,0
894,travessa,1,1,1,0
895,travei,1,1,1,0
896,trave,3,2,6,0
897,travar,8,8,64,0
898,travamos,1,1,1,0
899,travam,1,1,1,0
900,trava,3,3,9,0
901,traumático,1,1,1,0
902,traumatizados,1,1,1,0
903,traumas,1,1,1,0
904,tratou,13,13,169,0
905,trato,1,1,1,0
906,trates,1,1,1,0
907,tratem,3,3,9,0
908,trateis,1,1,1,0
909,tratava,8,8,64,0
910,tratassem,2,2,4,0
911,tratares,1,1,1,0
912,trataram,5,5,25,0
913,tratar,37,37,1369,0
914,tratando,3,3,9,0
915,tratamos,3,3,9,0
916,tratamentos,5,5,25,0
917,tratamento,10,10,100,0
918,tratam,8,8,64,0
919,tratados,13,13,169,0
920,tratado,8,8,64,0
921,tratadas,2,2,4,0
922,tratada,7,7,49,0
923,trata,12,11,132,0
924,trasbordando,1,1,1,0
925,trarão,2,2,4,0
926,trará,4,4,16,0
927,traria,3,3,9,0
928,trarei,2,2,4,0
929,tranças,1,1,1,0
930,transportei,1,1,1,0
931,transportados,1,1,1,0
932,transportado,1,1,1,0
933,transparente,1,1,1,0
934,transmitiu,2,2,4,0
935,transmitirão,1,1,1,0
936,transmitiram,4,4,16,0
937,transmitir,5,5,25,0
938,transmitidos,2,2,4,0
939,transmitido,2,2,4,0
940,transmitidas,1,1,1,0
941,transmitida,4,4,16,0
942,transmitiam,1,1,1,0
943,transmitia,1,1,1,0
944,transmiti,5,5,25,0
945,transmite,2,2,4,0
946,transmitam,5,5,25,0
947,transmissão,3,2,6,0
948,transitem,1,1,1,0
949,transgridem,1,1,1,0
950,transgressões,5,5,25,0
951,transgressão,5,5,25,0
952,transgressores,5,5,25,0
953,transgressora,1,1,1,0
954,transgressor,5,5,25,0
955,transgredir,1,1,1,0
956,transgrediam,1,1,1,0
957,transfusões,7,7,49,0
958,transfusão,6,6,36,0
959,transformou,5,5,25,0
960,transformem,1,1,1,0
961,transforme,2,2,4,0
962,transformação,3,3,9,0
963,transformasse,1,1,1,0
964,transformará,1,1,1,0
965,transformariam,2,2,4,0
966,transformaram,3,3,9,0
967,transformar,12,11,132,0
968,transformando,2,2,4,0
969,transformam,2,2,4,0
970,transformados,5,5,25,0
