id,Label,tf,df,tdf
952,tebe-tebes,3,1,3
953,nivel,4,1,4
954,nível,23,1,23
955,felisita,2,1,2
956,sanitária,62,1,62
957,konklui,6,1,6
958,merício,12,1,12
959,agradese,36,1,36
960,jornalizmu,5,1,5
961,akara,23,1,23
962,atribui,11,1,11
963,delta,47,1,47
964,saida,38,1,38
965,parlamentár,10,1,10
966,protokolu,13,1,13
967,determina,11,1,11
968,universidade,52,1,52
969,reitór,32,1,32
970,graduadu,19,1,19
971,ccd,5,1,5
972,sentrál,27,1,27
973,data,18,1,18
974,kandidatu,29,1,29
975,kampus,15,1,15
976,hera,15,1,15
977,lisensiatura,2,1,2
978,baxarelatu,2,1,2
979,fixu,2,1,2
980,lorosa’e,28,1,28
981,es,11,1,11
982,bekora,31,1,31
983,inan-aman,35,1,35
984,centro,9,1,9
985,conven,1,1,1
986,untl,77,1,77
987,akadémiku,13,1,13
988,graduasaun,42,1,42
989,merkadu-lama,1,1,1
990,kalendáriu,3,1,3
991,sagrado,2,1,2
992,dala-xxv,3,1,3
993,posibilidade,16,1,16
994,cora,2,1,2
995,oráriu,7,1,7
996,igreja,31,1,31
997,misa,6,1,6
998,vokasionál,2,1,2
999,esj,3,1,3
1000,manatutu,25,1,25
1001,santo,2,1,2
1002,vise,79,1,79
1003,apresiasaun,9,1,9
1004,ezame,30,1,30
1005,rala,10,1,10
1006,rua,154,1,154
1007,favorável,3,1,3
1008,dadus,39,1,39
1009,observa,23,1,23
1010,letivu,3,1,3
1011,bukar,2,1,2
1012,estv,5,1,5
1013,mejd,11,1,11
1014,vila,10,1,10
1015,mahunu,2,1,2
1016,juventude,29,1,29
1017,kay,10,1,10
1018,realizasaun,3,1,3
1019,adjuntu,8,1,8
1020,falintil,22,1,22
1021,sanulu,11,1,11
1022,militár,41,1,41
1023,maia,6,1,6
1024,reál,12,1,12
1025,ne'ebé,96,1,96
1026,rai-fatuk,2,1,2
1027,respiratóriu,1,1,1
1028,ukun-an,7,1,7
1029,pesoál,29,1,29
1030,ultrapasa,8,1,8
1031,difikuldade,13,1,13
1032,envolve,10,1,10
1033,umanitária,15,1,15
1034,kulit,5,1,5
1035,vasinasaun,90,1,90
1036,enquantu,1,1,1
1037,ultrapassa,1,1,1
1038,enfrenta,18,1,18
1039,difikulta,19,1,19
1040,saturnino,1,1,1
1041,manuel,15,1,15
1042,di'ak,13,1,13
1043,balibó,4,1,4
1044,daudauk,62,1,62
1045,leolima,2,1,2
1046,mendes,2,1,2
1047,estrada,61,1,61
1048,médiku,23,1,23
1049,infeksaun,1,1,1
1050,alta,6,1,6
1051,aliadu,2,1,2
1052,evita-an,6,1,6
1053,preferensialmente,1,1,1
1054,boletim,2,1,2
1055,espesiál,31,1,31
1056,etc,3,1,3
1057,meteorolojia,4,1,4
1058,eventuál,6,1,6
1059,sa'e,1,1,1
1060,desloka,3,1,3
1061,períodu,34,1,34
1062,hadook-an,6,1,6
1063,rai,51,1,51
1064,halai,5,1,5
1065,jeofízika,8,1,8
1066,natoo,1,1,1
1067,nota,11,1,11
1068,loro-kraik,12,1,12
1069,iah,1,1,1
